,Illinois,Indiana,Michigan,Ohio,Wisconsin,Iowa,Kansas,Minnesota,Missouri,Nebraska,North Dakota,South Dakota,New Jersey,New York,Pennsylvania,Connecticut,Maine,Massachusetts,New Hampshire,Rhode Island,Vermont,Alabama,Kentucky,Mississippi,Tennessee,Delaware,District of Columbia,Florida,Georgia,Maryland,North Carolina,South Carolina,Virginia,West Virginia,Arkansas,Louisiana,Oklahoma,Texas,Arizona,Colorado,Idaho,Montana,Nevada,New Mexico,Utah,Wyoming,California,Oregon,Washington
North Dakota,0.425418306,0.905878265,0.436036426,0.317889301,0.261876183,0.191643333,0.776438304,-0.095672395,-0.103990874,0.370846611,0.198192925,0.031945564,0.904222465,0.506560718,1.006441782,0.296655161,1.831178343,0.356736901,0.222559759,0.982724149,1.243410033,1.278618147,0.490537251,1.125228418,0.280522461,1.269022101,0.478978931,1.327072135,1.127189745,0.391919574,1.296441953,1.574047097,0.888590442,1.525052109,0.1772049,0.379704848,0.540111094,0.992641567,1.041190293,0.492319818,1.16247977,0.693547244,0.346165424,0.768344335,0.795422675,0.62239442,0.572278228,0.870889342,1.059947009
South Dakota,0.515558998,0.345478446,1.01694344,0.657917388,-0.016574906,-0.146334281,-0.00086721,-0.365144537,0.248935321,-0.037352702,-0.26319997,0.297198218,1.230473109,0.421725101,0.571186239,0.564696554,0.918443448,0.427402641,1.588875886,1.836087255,0.386530425,0.580040568,-0.09199326,2.731979262,-0.096554783,-0.937281365,0.313726319,1.015716275,0.570218325,0.353376479,0.814560388,0.92675511,1.038079234,0.282464174,0.28297105,-0.333107085,0.212973128,0.75313476,0.741588011,0.089489833,1.354143011,0.368162337,0.776983178,-0.118649586,0.383840373,0.067202173,0.405050647,1.049338867,1.39477754
New Jersey,0.043481062,0.37827755,-0.306329532,-0.395223233,-0.526086827,-0.087244914,-0.017940266,-0.388469494,0.224740337,0.372123231,0.45090847,1.261243802,0.201354675,-1.230006922,-0.827375475,-1.212461722,-0.603060076,-0.648840168,-1.095483001,-0.561636436,-0.920182329,-0.223509709,-0.207811225,0.304236458,0.033886712,-0.8675398,-0.050440325,0.639698291,0.289282164,-0.942175152,-0.064019672,0.074903878,-0.412126046,-0.382808452,-0.220822006,0.089651224,0.099957824,0.49531453,0.928304941,0.693839438,0.068932327,0.500890465,1.053999331,1.15473602,0.399954296,1.297938633,0.790031254,0.88086889,0.792364045
New York,-0.121487044,-0.037009187,-0.306137905,-0.326989243,-0.329026095,-0.292791061,0.817876236,0.09419674,0.340669733,0.112461528,1.128205697,1.08585437,-1.03003527,-0.209997963,-0.875260571,-0.625975958,-0.887515426,-0.628472101,-0.743400088,-0.740566968,-1.043496737,0.406058822,0.268489967,0.291046405,0.186462032,-1.010178457,0.430058334,0.719189942,0.370039138,-0.553541641,0.142709045,0.143067837,-0.303741615,-0.722895838,0.264954977,0.217991303,0.337753345,0.667137774,0.946196741,0.807414428,1.101406246,1.13408594,0.938337252,1.14923406,0.701345307,0.527903147,0.944294847,1.121099956,0.872868824
Pennsylvania,-0.231158909,-0.541053273,-0.532605011,-0.690918788,-0.410566241,0.158942507,0.316733861,0.020939686,0.211257865,0.239218782,0.553399558,0.367783663,-1.052211152,-1.046865675,-0.441370339,-1.05863893,-0.465320506,-0.538007542,-0.673843724,-0.965312684,-0.588335289,-0.00087517,-0.118268298,-0.206411216,-0.171663145,-0.631004746,-0.970296203,0.475577725,0.169053946,-1.076362889,-0.236176597,-0.133504375,-0.571428559,-0.819022083,0.088914813,0.066408343,0.433602344,0.562915954,0.981526074,0.734223523,0.987843319,1.2722317,0.680740975,0.657668143,0.956279887,0.704058011,0.674145076,1.187049607,0.618501749
Connecticut,0.237362926,0.285435247,-0.278724869,-0.232667411,-0.035048846,-0.423662446,-0.346560515,-0.206585384,-0.102413312,0.898019656,0.442224376,-1.688806988,-1.056796576,-0.910386999,-0.896876058,1.234227516,-0.775267452,-0.497836713,-0.771345788,-0.51588334,-0.834550968,0.290300983,0.376005734,0.898449676,0.306781828,-1.019189913,0.466055458,0.809573364,0.35293779,-0.628378706,0.228145426,0.363073477,-0.218062502,-0.074825233,0.969313383,0.338650776,-0.291230444,0.458793341,0.810616426,1.140035152,0.165497783,1.159567875,0.713186394,-0.086749964,1.091806937,-0.163347941,0.681052174,0.53821766,0.890731835
Maine,0.048009059,-0.016977906,-0.967779343,0.289831883,0.276858168,1.140032809,0.494555333,0.414673408,1.092266419,0.24272798,1.4578977,2.069872725,-0.096464633,-0.537542466,-0.391453471,-0.797483238,0.627581389,-0.890069954,-0.948870072,-1.504811767,-0.629176246,0.474283988,0.522384881,1.185954073,0.627417261,-0.970448782,0.155245184,0.675162786,0.37313417,-0.233578921,0.259038241,0.424972525,0.042791576,0.474120272,0.018762859,-0.796920673,-0.371640495,0.741063489,0.505636992,0.965250141,0.912053583,1.517063049,0.91681117,0.824229249,1.163369735,1.156111913,1.024026737,1.386501776,1.304293732
Massachusetts,0.441388923,0.088088113,-0.134153703,-0.261308698,-0.164109889,0.283964865,0.767644989,0.436464243,0.360476094,0.201984455,0.42474651,0.656128344,-0.887612863,-0.73530459,-0.709874674,-0.590944542,-0.436843881,0.828356843,-0.185354421,-0.275069763,-0.811078045,0.0327102,-0.012406696,-0.19477118,0.182781257,-0.738378423,0.765504551,0.670645975,0.218846145,-0.558085052,0.225032131,0.262211571,-0.189885491,0.031446558,-0.244503516,-0.147960867,0.109096802,0.683953989,0.857963839,0.846492435,0.387011287,1.571854881,0.977428916,0.590384695,0.744048246,1.587861016,1.065415257,1.070372314,1.047486163
New Hampshire,0.451791905,0.290549829,-0.130689529,-0.051010876,0.414086059,0.433831522,0.848121232,-0.58362998,1.111981925,1.171083651,1.540487804,-0.042251136,-0.182321776,-0.95789424,-0.42695402,-1.358995139,-0.437091287,-0.835940651,0.925648368,-1.012635365,-0.474025387,-0.434986389,0.418145177,0.20988266,0.752430487,0.035835111,0.111670561,0.840950684,0.284431364,-0.220169942,0.322937705,0.516956975,-0.330310022,0.504523343,0.393668122,1.496746325,0.604976922,0.967943332,0.793001673,1.009819579,0.966851326,0.368821185,0.532466246,1.35297565,0.692044238,1.901264923,0.731350482,0.971860387,1.523717382
Rhode Island,-0.05133605,0.182431342,-0.422387915,-0.088870796,-0.170448086,0.31326109,1.521742992,0.116151278,0.00133466,0.841462128,,1.203525248,-1.401077695,-1.056407209,-0.64164905,-0.745284359,-0.768553371,-0.867387987,-0.848271641,1.176784684,-1.344552626,0.711767589,1.750887585,0.394102213,0.757163954,-0.26573393,-0.232590315,0.491746993,0.559534358,-0.331475909,0.415612171,0.586669216,0.181301845,0.116833019,,-0.71280873,0.230617718,0.24229042,0.654237963,1.153011387,,-0.169417092,1.712394229,0.602676797,2.025666922,0.775674452,1.02935035,0.696530009,1.494952163
Vermont,-0.251679739,0.862880221,0.217097942,0.06005624,-0.146049441,0.418367204,0.701930525,0.621149003,1.366726032,1.082269857,,,-0.938784584,-0.686593698,-0.446151636,-1.073285351,-0.735089831,-0.935125223,-0.70906419,-1.086709847,0.149612018,-0.372916726,0.138262415,-0.206706518,0.480111918,-0.216368275,0.175655422,0.85758718,0.14924515,-0.241629552,0.46814769,0.892631452,0.434552694,-1.613243204,-1.786096557,0.082177948,1.268841291,1.211265498,1.124870636,1.274897768,0.525845678,0.93698236,0.842654483,0.917892084,0.859746559,,0.579010053,1.42342363,1.183096783
Alabama,-0.062438281,-0.49561024,-0.179773542,-0.131049497,-0.036527666,0.173244172,0.249524264,0.200682528,0.053864051,0.597707003,0.104175055,1.031729348,0.266994125,-0.070707665,-0.101579148,0.361627497,0.729492913,-0.036134914,0.616773967,0.166219739,0.990719747,-0.280563538,-0.384228245,-0.645998395,-0.687425187,0.226157317,-0.450900284,-0.299465535,-0.403728253,-0.18119248,0.020088357,-0.13215162,0.371964666,0.530377503,-0.342282343,-0.222888863,-0.066440183,0.275523576,0.684218206,0.746120393,0.739358391,0.603887419,0.445198034,0.841702053,0.531693811,0.728531052,0.412140613,1.174468149,0.621209669
Kentucky,-0.286927712,-0.713706598,-0.41065959,-0.689642402,0.058993604,-0.077974038,0.31702974,-0.157237111,-0.169383925,0.209575519,0.351444893,0.781922698,0.020986577,0.017886515,-0.485917786,-0.187167125,0.254990831,0.035646278,0.573981242,0.791349151,1.27313295,-0.874621793,-0.366535592,-0.321068356,-0.725201867,-1.225659101,0.258929634,0.304155054,0.133312972,-0.136064974,0.067394027,-0.058115921,0.246045477,-0.184839138,0.041546947,0.24080553,0.273993518,0.478847061,0.448119432,0.890124315,0.680497371,1.165990594,0.78565394,1.094517841,0.799861984,1.026926966,0.6073998,1.092265744,1.46925626
Mississippi,0.080205192,0.112937221,-0.045164308,0.311942295,0.030935517,0.109519779,-0.062023594,0.061145605,-0.139027263,0.215160265,1.316885821,0.883046218,-0.155160768,-0.093393954,0.164028538,0.815377936,1.05985682,-0.449423973,1.785313334,0.474356076,0.913336397,-0.691231381,-0.132497219,-0.238385761,-0.438621973,-0.406865287,0.555835703,0.024899426,0.259679803,0.598503312,0.351778437,-0.026856349,0.909517263,0.582870341,-0.23904579,-0.585756896,0.211090124,0.235158023,0.538552113,0.87911486,0.806384354,1.853847167,1.294757416,0.948509449,0.636067311,-0.541672713,0.599972783,1.421684416,0.905446516
Tennessee,-0.530800268,-0.409790537,-0.253581461,-0.489170835,-0.462591193,-0.305997382,0.16516285,-0.125706296,-0.186335187,-0.010180083,0.641262894,0.622376773,0.017584794,0.01887007,-0.23052788,0.161445377,0.226218095,-0.085887236,0.013982676,-0.23683283,0.069576818,-0.613394493,-0.708007995,-0.168170564,-0.220774782,0.489006012,0.514568165,0.161577717,-0.226913911,-0.006528481,-0.351570881,-0.34833083,-0.090402251,0.260972565,-0.110663299,0.028182249,0.077408187,0.411397659,0.512668424,0.584701724,0.995713527,0.575195081,0.436353088,0.575168013,0.417414064,0.075108964,0.542777145,1.14216752,0.939232721
Delaware,-0.832773034,0.179248036,-0.968580307,-0.088894593,0.941545897,1.435640974,1.929472323,0.593426884,0.735182632,-0.588343254,2.155148057,,-1.162927297,-0.969040102,-0.975554332,-0.58847284,-0.555422825,-0.511306371,-0.759506586,-2.525081993,-1.60666351,1.140046119,0.407142692,-1.158556307,-0.048643093,2.322405627,-0.716803597,0.239412108,0.137769735,-0.845064902,-0.126257922,-0.309675894,-0.87761224,-0.52750912,1.242702391,-0.326624269,-0.128587547,0.492977237,0.643268808,0.551612506,1.51401636,,0.563714371,1.27918278,0.716282904,2.220672199,0.744501645,1.443083199,0.755914447
District of Columbia,0.322122336,-0.202867555,-0.77156929,-0.548279568,-0.490691577,-0.37292716,-0.392493712,-0.042024112,0.097940104,-0.583970367,-1.862342222,-1.53124595,-0.685408251,-0.562727542,-1.249083793,-0.549677292,-0.399198015,-0.404028011,0.45240876,-1.194159008,-0.332167931,-0.253538432,0.288218972,0.012415629,-0.11269959,-0.057429412,,0.266293161,0.462937443,-0.423252211,-0.384091896,0.589602604,-0.749521633,-0.697037468,0.246301314,0.48406731,-0.339095348,0.581438947,0.948354907,0.923711614,,0.74242467,0.399191438,0.54116463,0.471486176,,1.548539935,1.112815624,1.391153776
Florida,0.061221446,0.220769318,0.062196975,-0.033280444,-0.132705054,0.213351898,0.4551683,0.028610086,0.268311854,0.330437133,0.490553446,0.523812266,0.017711155,0.133458979,-0.018964477,0.217292686,0.315278581,0.349981721,0.253169009,0.676285773,0.18571028,-0.357275468,0.061694681,-0.04442151,0.241168388,-0.490024045,-0.224881613,0.103730676,-0.210182111,-0.075370399,-0.075148491,-0.110653869,0.394887408,-0.024539143,0.15112887,-0.069146328,0.222302094,0.424234723,0.798590839,0.862686622,1.242411749,0.95233924,1.229771813,0.491010872,0.46113116,0.283134982,0.759648399,1.079553573,0.912438857
Georgia,-0.497505127,0.095169123,-0.129785761,-0.257860026,-0.175496135,0.476319003,0.664753065,0.103069864,0.419913898,0.324680115,0.996809779,0.914178497,-0.053239341,-0.001072868,-0.104192204,0.160870789,-0.212335079,0.138305568,0.32249661,0.974989402,0.089174791,-0.584551898,-0.268369059,-0.103750518,-0.541259031,-0.871101991,-0.24440416,-0.113605761,-0.398224228,-0.123667216,-0.38640644,-0.615459797,0.206854792,-0.050074974,0.300301402,0.066846448,0.248923374,0.544431564,0.823497549,0.836343792,0.828331026,0.925073216,0.986360056,0.597588503,0.752782425,0.181012735,0.697238595,1.147847077,1.025542221
Maryland,-0.016939648,-0.16424898,-0.59278723,-0.630782782,-0.519420696,0.059977345,0.141699738,-0.040087361,0.14630919,0.457091163,0.314684848,0.599651183,-1.123699384,-0.911105837,-1.114389415,-0.69981687,-0.5222727,-0.56856999,-0.37810539,-0.866231519,-0.887386923,-0.332296908,-0.118129483,0.450289567,-0.131416849,-0.517813156,-0.310133911,0.257127222,-0.00217355,0.148148063,-0.443112292,-0.067178848,-0.781931462,-0.462522592,0.944658484,-0.121284797,0.351881103,0.622337994,0.964763665,0.927039869,1.433573348,0.800085592,1.057753601,0.643309873,0.771021703,-0.333272169,0.984893505,0.916763701,1.14778823
North Carolina,-0.035398423,0.086429345,-0.034111086,-0.421381376,0.069814541,0.518350359,0.591320754,-0.147677382,0.561720255,0.206870071,0.735601298,0.486169228,-0.490404974,-0.26889254,-0.572406273,-0.150235254,0.396102637,-0.059631805,0.109363467,-0.050898404,-0.162079774,-0.08079865,-0.082540735,0.320013803,-0.379572934,-0.989986403,-1.366291865,0.063397333,-0.204495725,-0.498573461,-0.361315298,-0.659065631,-0.458905891,-0.427959382,0.1488179,0.51065112,0.638632205,0.707208233,0.928977446,0.687653962,1.2646695,1.032875507,0.863635817,0.692841447,0.669448716,1.096911554,0.809216763,1.112197418,1.128867628
